规则格网体积计算
	基本信息
--------------------------------------------------------------------------------------------------
基准高程:9
单位网格边长:1
网格纵向个数:56
网格横向个数:26
单位网格总数:1456
总体积:3055.323
填方体积:0
挖方体积:3055.323

	凸包点信息
--------------------------------------------------------------------------------------------------
点号          X坐标         Y坐标         高程          
5,24           3768.116       2850.174       12.6043925422682 3.60439254226821
5,25           3769.116       2850.174       12.3999905933838 3.39999059338379
5,26           3770.116       2850.174       12.2236571406567 3.22365714065668
5,27           3771.116       2850.174       12.0778006167186 3.07780061671862
5,28           3772.116       2850.174       11.9590851564565 2.95908515645654
5,29           3773.116       2850.174       11.7586905644864 2.75869056448637
5,30           3774.116       2850.174       11.5816898604812 2.58168986048116
5,31           3775.116       2850.174       11.5003860699999 2.50038606999985
5,32           3776.116       2850.174       11.4079292665581 2.40792926655809
5,33           3777.116       2850.174       11.3198369751472 2.31983697514719
5,34           3778.116       2850.174       11.1838621441205 2.18386214412054
5,35           3779.116       2850.174       11.0456238684518 2.0456238684518
5,36           3780.116       2850.174       10.9566871911084 1.95668719110838
5,37           3781.116       2850.174       10.7520713929037 1.75207139290371
5,38           3782.116       2850.174       10.6786837972928 1.67868379729277
5,39           3783.116       2850.174       10.797034526395 1.79703452639496
5,40           3784.116       2850.174       10.7863751857207 1.78637518572073
5,41           3785.116       2850.174       10.804460156336 1.80446015633601
5,42           3786.116       2850.174       10.876852615962 1.87685261596197
5,43           3787.116       2850.174       10.9164697703905 1.91646977039052
5,44           3788.116       2850.174       10.9663830840194 1.96638308401937
6,3            3747.116       2851.174       11.8761042800677 2.87610428006766
6,4            3748.116       2851.174       11.7413321392262 2.74133213922615
6,5            3749.116       2851.174       11.7866481942181 2.78664819421809
6,6            3750.116       2851.174       12.0412903685588 3.04129036855876
6,7            3751.116       2851.174       12.2451182386523 3.24511823865229
6,8            3752.116       2851.174       12.4172492093733 3.41724920937332
6,9            3753.116       2851.174       12.6223540004064 3.62235400040635
6,10           3754.116       2851.174       12.7619798886592 3.76197988865922
6,11           3755.116       2851.174       12.8477227307668 3.84772273076682
6,12           3756.116       2851.174       12.9277484131279 3.92774841312788
6,13           3757.116       2851.174       12.9464557611542 3.9464557611542
6,14           3758.116       2851.174       12.988706184449 3.98870618444903
6,15           3759.116       2851.174       13.0496855173331 4.04968551733309
6,16           3760.116       2851.174       13.1199892376614 4.11998923766144
6,17           3761.116       2851.174       13.1868771178746 4.18687711787459
6,18           3762.116       2851.174       13.1577206300179 4.15772063001787
6,19           3763.116       2851.174       13.0978059357657 4.09780593576566
6,20           3764.116       2851.174       13.0428550746105 4.04285507461054
6,21           3765.116       2851.174       12.9706029056376 3.97060290563758
6,22           3766.116       2851.174       12.9376049927317 3.93760499273172
6,23           3767.116       2851.174       12.896041343058 3.89604134305796
6,24           3768.116       2851.174       12.7200794677429 3.72007946774288
6,25           3769.116       2851.174       12.4984974162289 3.49849741622891
6,26           3770.116       2851.174       12.3187025231316 3.31870252313163
6,27           3771.116       2851.174       12.164913413054 3.16491341305398
6,28           3772.116       2851.174       12.032204483393 3.03220448339301
6,29           3773.116       2851.174       11.8662745709675 2.86627457096747
6,30           3774.116       2851.174       11.6945426273799 2.69454262737992
6,31           3775.116       2851.174       11.5724482666795 2.57244826667947
6,32           3776.116       2851.174       11.4663609958904 2.46636099589035
6,33           3777.116       2851.174       11.3661236867697 2.36612368676971
6,34           3778.116       2851.174       11.2146386288702 2.2146386288702
6,35           3779.116       2851.174       11.0874236253625 2.08742362536255
6,36           3780.116       2851.174       11.0202780584877 2.02027805848771
6,37           3781.116       2851.174       10.8532370145027 1.85323701450268
6,38           3782.116       2851.174       10.766172895459 1.76617289545904
